"filedate","tractid","countyfp10","totalfilings"
"01/15/2020","13121002400","121",1
"01/15/2020","13121002500","121",7
"01/15/2020","13121002800","121",11
"01/15/2020","13121003500","121",2
"01/15/2020","13121003600","121",2
"01/15/2020","13121003800","121",1
"01/15/2020","13121004100","121",1
"01/15/2020","13121004200","121",1
"01/15/2020","13121004300","121",4
"01/15/2020","13121004800","121",2
"01/15/2020","13121006602","121",2
"01/15/2020","13121006700","121",2
"01/15/2020","13121006900","121",1
"01/15/2020","13121007001","121",1
"01/15/2020","13121007002","121",1
"01/15/2020","13121007100","121",3
"01/15/2020","13121007300","121",1
"01/15/2020","13121007603","121",3
"01/15/2020","13121007604","121",10
"01/15/2020","13121007704","121",2
"01/15/2020","13121007706","121",1
"01/15/2020","13121007802","121",5
"01/15/2020","13121007805","121",1
"01/15/2020","13121008201","121",1
"01/15/2020","13121008302","121",2
"01/15/2020","13121008601","121",2
"01/15/2020","13121008700","121",7
"01/15/2020","13121008902","121",13
"01/15/2020","13121009101","121",2
"01/15/2020","13121009200","121",18
"01/15/2020","13121009402","121",15
"01/15/2020","13121009501","121",1
"01/15/2020","13121009502","121",1
"01/15/2020","13121009601","121",8
"01/15/2020","13121009603","121",5
"01/15/2020","13121010002","121",4
"01/15/2020","13121010110","121",1
"01/15/2020","13121010205","121",1
"01/15/2020","13121010208","121",2
"01/15/2020","13121010209","121",4
"01/15/2020","13121010211","121",1
"01/15/2020","13121010212","121",2
"01/15/2020","13121010301","121",10
"01/15/2020","13121010303","121",14
"01/15/2020","13121010507","121",14
"01/15/2020","13121010510","121",35
"01/15/2020","13121010512","121",4
"01/15/2020","13121010513","121",13
"01/15/2020","13121010514","121",5
"01/15/2020","13121010515","121",3
"01/15/2020","13121010516","121",1
"01/15/2020","13121010800","121",1
"01/15/2020","13121011202","121",1
"01/15/2020","13121011303","121",5
"01/15/2020","13121011305","121",35
"01/15/2020","13121011306","121",4
"01/15/2020","13121011414","121",3
"01/15/2020","13121011420","121",5
"01/15/2020","13121011421","121",1
"01/15/2020","13121011422","121",20
"01/15/2020","13121011427","121",1
"01/15/2020","13121011611","121",5
"01/15/2020","13121011613","121",1
"01/15/2020","13121011614","121",5
"01/15/2020","13121011620","121",1
"01/15/2020","13121011623","121",1
"01/15/2020","13121011900","121",1
"01/15/2020","13121012000","121",1
"01/16/2020","13121000500","121",5
"01/16/2020","13121000600","121",1
"01/16/2020","13121001001","121",1
"01/16/2020","13121001300","121",2
"01/16/2020","13121001700","121",11
